Workout Start,Workout End,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
8/1/2023 15:53,,Bench Press,40,6,,,,,Chest,Chest,
8/1/2023 15:53,,Bench Press,70,7,,,,,Chest,Chest,
8/1/2023 15:53,,Bench Press,70,,,,,,Chest,Chest,
8/1/2023 15:53,,Bench Press,70,,,,,,Chest,Chest,
8/1/2023 15:53,,Bench Press,70,,,,,,Chest,Chest,
8/1/2023 15:53,,Dips,,,,,,,Triceps,Chest,
8/1/2023 15:53,,Dips,,,,,,,Triceps,Chest,
8/1/2023 15:53,,Dips,,,,,,,Triceps,Chest,
8/1/2023 15:53,,Cable Fly,,,,,,,Chest,Chest,
8/1/2023 15:53,,Cable Fly,,,,,,,Chest,Chest,
8/1/2023 15:53,,Cable Fly,,,,,,,Chest,Chest,
8/1/2023 15:53,,Triceps Extensions,,,,,,,Triceps,Chest,
8/1/2023 15:53,,Triceps Extensions,,,,,,,Triceps,Chest,
8/1/2023 15:53,,Triceps Extensions,,,,,,,Triceps,Chest,
8/1/2023 15:53,,Triceps Extensions,,,,,,,Triceps,Chest,
8/1/2023 15:53,,Push Up,,,,,,,Chest,Chest,
7/28/2023 15:06,,Bench Press,40,6,,,,,Chest,Chest,
7/28/2023 15:06,,Bench Press,70,7,,,,,Chest,Chest,
7/28/2023 15:06,,Bench Press,70,7,,,,,Chest,Chest,
7/28/2023 15:06,,Bench Press,70,,,,,,Chest,Chest,
7/28/2023 15:06,,Bench Press,,,,,,,Chest,Chest,
7/28/2023 15:06,,Bench Press,,,,,,,Chest,Chest,
7/28/2023 15:06,,Dips,0,9,,,,,Triceps,Chest,
7/28/2023 15:06,,Dips,0,6,,,,,Triceps,Chest,
7/28/2023 15:06,,Dips,0,4,,,,,Triceps,Chest,
7/28/2023 15:06,,Cable Fly,,,,,,,Chest,Chest,
7/28/2023 15:06,,Cable Fly,,,,,,,Chest,Chest,
7/28/2023 15:06,,Cable Fly,,,,,,,Chest,Chest,
7/28/2023 15:06,,Triceps Extensions,,,,,,,Triceps,Chest,
7/28/2023 15:06,,Triceps Extensions,,,,,,,Triceps,Chest,
7/28/2023 15:06,,Triceps Extensions,,,,,,,Triceps,Chest,
7/28/2023 15:06,,Triceps Extensions,,,,,,,Triceps,Chest,
7/28/2023 15:06,,Push Up,,,,,,,Chest,Chest,
7/25/2023 16:06,,Bench Press,40,6,,,,,Chest,Chest,
7/25/2023 16:06,,Bench Press,70,7,,,,,Chest,Chest,
7/25/2023 16:06,,Bench Press,70,8,,,,,Chest,Chest,
7/25/2023 16:06,,Bench Press,70,8,,,,,Chest,Chest,
7/25/2023 16:06,,Bench Press,70,4,,,,,Chest,Chest,
7/25/2023 16:06,,Dips,12.5,10,,,,,Triceps,Chest,
7/25/2023 16:06,,Dips,15,8,,,,,Triceps,Chest,
7/25/2023 16:06,,Dips,0,4,,,,,Triceps,Chest,
7/25/2023 16:06,,Cable Fly,12.5,10,,,,,Chest,Chest,
7/25/2023 16:06,,Cable Fly,12.5,8,,,,,Chest,Chest,
7/25/2023 16:06,,Cable Fly,10,8,,,,,Chest,Chest,
7/25/2023 16:06,,Triceps Extensions,25,8,,,,,Triceps,Chest,
7/25/2023 16:06,,Triceps Extensions,30,8,,,,,Triceps,Chest,
7/25/2023 16:06,,Triceps Extensions,30,8,,,,,Triceps,Chest,
7/25/2023 16:06,,Triceps Extensions,27.5,6,,,,,Triceps,Chest,
7/25/2023 16:06,,Push Up,10,,,,,,Chest,Chest,
7/25/2023 16:06,,Push Up,,,,,,,Chest,Chest,
7/19/2023 14:51,,Shoulder Dumbbell Press,30,10,,,,,Shoulders,shoulder,
7/19/2023 14:51,,Shoulder Dumbbell Press,,,,,,,Shoulders,shoulder,
7/19/2023 14:51,,Shoulder Dumbbell Press,,,,,,,Shoulders,shoulder,
7/18/2023 15:31,,Incline Smith,40,6,,,,,Chest,chest,
7/18/2023 15:31,,Incline Smith,60,8,,,,,Chest,chest,
7/18/2023 15:31,,Incline Smith,,,,,,,Chest,chest,
7/18/2023 15:31,,Incline Smith,,,,,,,Chest,chest,
7/15/2023 16:50,,Shoulder Dumbbell Press,36,2,,,,,Shoulders,shoulder,
7/15/2023 16:50,,Shoulder Dumbbell Press,,,,,,,Shoulders,shoulder,
7/14/2023 15:17,,Incline Smith,40,6,,,,,Chest,chest,
7/14/2023 15:17,,Incline Smith,70,4,,,,,Chest,chest,
7/14/2023 15:17,,Incline Smith,50,8,,,,,Chest,chest,
7/14/2023 15:17,,Incline Smith,,,,,,,Chest,chest,
7/4/2023 14:48,,Shoulder Dumbbell Press,22,6,,,,,Shoulders,shoul tri,
7/4/2023 14:48,,Shoulder Dumbbell Press,30,8,,,,,Shoulders,shoul tri,
7/4/2023 14:48,,Shoulder Dumbbell Press,34,4,A BIT DIABOLICAL TBH,,,,Shoulders,shoul tri,
7/4/2023 14:48,,Shoulder Dumbbell Press,26,,,,,,Shoulders,shoul tri,
6/30/2023 17:02,,Pushdowns,,,,,,,Triceps,shoulder tri,
6/30/2023 17:02,,Pushdowns,,,,,,,Triceps,shoulder tri,
6/30/2023 17:02,,Pushdowns,,,,,,,Triceps,shoulder tri,
6/27/2023 15:49,,Hammer Curl,20,6,,,,,Biceps,pull,
6/27/2023 15:49,,Hammer Curl,22,8,,,,,Biceps,pull,
6/27/2023 15:49,,Hammer Curl,18,8,,,,,Biceps,pull,
6/27/2023 15:49,,Incline Curls,18,3,,,,,Biceps,pull,
6/27/2023 15:49,,Incline Curls,16,,,,,,Biceps,pull,
6/27/2023 15:49,,Incline Curls,,,,,,,Biceps,pull,
6/27/2023 15:49,,Cable Row,25,8,,,,,Back,pull,
6/27/2023 15:49,,Cable Row,27.5,8,,,,,Back,pull,
6/27/2023 15:49,,Cable Row,,,,,,,Back,pull,
6/26/2023 15:49,,Bench Press,60,8,,,,,Chest,push,
6/26/2023 15:49,,Bench Press,70,8,,,,,Chest,push,
6/26/2023 15:49,,Bench Press,80,4,,,,,Chest,push,
6/26/2023 15:49,,Incline Bench Press,40,8,smith,,,,Chest,push,
6/26/2023 15:49,,Incline Bench Press,60,8,,,,,Chest,push,
6/26/2023 15:49,,Incline Bench Press,60,8,,,,,Chest,push,
6/26/2023 15:49,,Pushdowns,32.5,6,,,,,Triceps,push,
6/26/2023 15:49,,Pushdowns,35,,,,,,Triceps,push,
6/26/2023 15:49,,Pushdowns,,,,,,,Triceps,push,
6/24/2023 15:51,,Squat,60,6,,,,,Legs,leg,
6/24/2023 15:51,,Squat,100,8,,,,,Legs,leg,
6/24/2023 15:51,,Squat,120,,,,,,Legs,leg,
6/24/2023 15:51,,Squat,,,,,,,Legs,leg,
6/23/2023 15:37,,Incline Curls,18,5,,,,,Biceps,pull,
6/23/2023 15:37,,Incline Curls,16,7,,,,,Biceps,pull,
6/23/2023 15:37,,Incline Curls,14,6,,,,,Biceps,pull,
6/23/2023 15:37,,Incline Curls,,,,,,,Biceps,pull,
6/23/2023 15:37,,Pull Up,0,4,,,,,Back,pull,
6/23/2023 15:37,,Pull Up,0,4,,,,,Back,pull,
6/23/2023 15:37,,Pull Up,0,3,,,,,Back,pull,
6/23/2023 15:37,,Barbell Row,40,8,SMITH,,,,Back,pull,
6/23/2023 15:37,,Barbell Row,60,8,,,,,Back,pull,
6/23/2023 15:37,,Barbell Row,60,5,,,,,Back,pull,
6/23/2023 15:37,,Cable Row,25,6,SINGLE,,,,Back,pull,
6/23/2023 15:37,,Cable Row,25,6,,,,,Back,pull,
6/23/2023 15:37,,Cable Row,,,,,,,Back,pull,
6/21/2023 14:54,,Squat,60,6,,,,,Legs,leg,
6/21/2023 14:54,,Squat,100,8,,,,,Legs,leg,
6/21/2023 14:54,,Squat,120,5,,,,,Legs,leg,
6/21/2023 14:54,,Squat,130,,,,,,Legs,leg,
6/21/2023 14:54,,Squat,,,,,,,Legs,leg,
6/20/2023 14:49,6/20/2023 15:05,Incline Curls,,,,,,,Biceps,pull,
6/20/2023 14:49,6/20/2023 15:05,Incline Curls,,,,,,,Biceps,pull,
6/20/2023 14:49,6/20/2023 15:05,Incline Curls,,,,,,,Biceps,pull,
6/13/2023 2:19,,Incline Dumbbell Press,16,8,,,,,Chest,push,
6/13/2023 2:19,,Incline Dumbbell Press,30,8,,,,,Chest,push,
6/13/2023 2:19,,Incline Dumbbell Press,34,,,,,,Chest,push,
6/13/2023 2:19,,Incline Dumbbell Press,,,,,,,Chest,push,
6/13/2023 2:19,,Incline Dumbbell Press,,,,,,,Chest,push,
6/11/2023 21:18,,Squat,60,6,,,,,Legs,leg,
6/11/2023 21:18,,Squat,100,8,,,,,Legs,leg,
6/11/2023 21:18,,Squat,120,5,,,,,Legs,leg,
6/11/2023 21:18,,Squat,130,2,,,,,Legs,leg,
6/9/2023 23:17,,Incline Curls,18,6,,,,,Biceps,pull,
6/9/2023 23:17,,Incline Curls,16,7,,,,,Biceps,pull,
6/9/2023 23:17,,Incline Curls,16,6,,,,,Biceps,pull,
6/9/2023 23:17,,Incline Curls,,,,,,,Biceps,pull,
6/9/2023 23:17,,Hammer Curl,20,6,,,,,Biceps,pull,
6/9/2023 23:17,,Hammer Curl,18,8,,,,,Biceps,pull,
6/9/2023 23:17,,Hammer Curl,16,8,,,,,Biceps,pull,
